_date,C1_hallway,S1_grief,S2_workplace,S3_dv_direct,S4_dv_third_party,S5_addiction,S6_child_disclosure,age,education,field,gender,reflection,timestamp,_status
2026-03-23T03:18:08.284508,I'm fine and you?,I'm so sorry for you. RIP.... I'll come to you to talk,It's so good you are really Creative but I want to modify something simple to make it better,It's okay we can meet,Try to talk to her seriously about it when her partner is not there,"Long time no see... I hope you are in good health, I miss you and our memories. how are you now?",You should ask her what these toys are and that there are no secrets between the daughter and her mother. Be her friend and make her tell you about everything so that you protect her well,18 to 24,High school / GED,Education,Woman,Well I want everyone to be okay and I want the best for them because I don't like seeing people sad or worried,2026-03-23T03:19:09.710Z,
2026-03-23T02:59:47.756877,Good! I’ll see you later,I’m here anytime you need me. Im sorry for your loss,"It’s a really good plan, just needs some revisions, I see that there could be a problem here",Of course! How are you!?,"Make sure to let her know that she can trust you, but don’t be too pushy.","Hey! We should hang out, can you join me to this new restaurant I found?",,18 to 24,Some college,Healthcare / social work,Woman,,2026-03-23T02:59:47.298Z,
2026-03-23T01:40:21.293380,"""Hey, I'm good! Talk later."" Because they're in a rush so usual small talk like ""I'm good, and you?"" would be kind of difficult in this situation.","""I'm so sorry to hear that, I am here for you if you need anything at all."" And if they are free I would offer to get them food.","""Are you sure you can do that? Do you have any legal solutions or ways to work around this without getting in trouble?""","""Yes of course, I missed you too. Let's go to [public space] on [random date]."" Suggesting a public area to meet so I can ask about their life, it sounds like the relationship is not so safe.","""It sounds like this could turn into something dangerous, you could invite them on a hangout and ask them 1:1.""","""Yes sure! I can't stay out late that day, how about we go to a restaurant near us instead?""","""Ask her questions but keep your tone normal so it doesn't scare her. Ask questions like, 'what games do you play?', 'does he ask to touch you/touch you at all?', 'does your dad know about this?'...etc and record it.""",18 to 24,Bachelor's degree,Other,Woman,"I noticed that I err on the side of caution and safety, especially for the other person. In most of these scenarios I would try and make a safe space for the other person to speak if there is anything potentially harmful happening in their lives.",2026-03-23T01:40:13.124Z,
2026-03-23T01:29:26.341110,I am good,I am so sorry for your loss. If you need anything or if you just want someone to talk to you can call me and I will be there for you.,"There is a problem right there. I can help you fix it, but everything else is really good.",I can't do that. I am sorry. I have moved on,Maybe you should just ask her. Tell her you are worried about her.,Aren't you sober though? I don't want you to lose your job again and be an addict. Let's get coffee instead,"I’m really sorry to hear about this situation. It sounds concerning, and it’s totally understandable to feel confused about how to handle it. I think it’s key to create a safe space for your daughter to talk. You could find a calm moment and gently ask her more about what she meant by “playing games” and sharing a secret. Just let her know you’re there to listen and that she can talk to you about anything.

If your gut tells you something feels off as she’s explaining, it might be a good idea to reach out to a child psychologist or counselor for guidance on what to do next. You definitely want to ensure her well-being is the priority. 

Just remember, you’re doing the right thing by being attentive to her feelings. You've got this, and I’m here for you if you need to talk more.",18 to 24,High school / GED,Other,Woman,,2026-03-23T01:29:25.926Z,
2026-03-23T00:44:20.180201,Good.,"Sorry to hear that man. I'm hear for you, always.",It looks good! Keep it up!,"Uhhhh, I dont want to start issues with your family, sorry :nervous-face:",I think you should tell her that that man might not be right for her.,"You dont drink anymore.. right? Im doing great, thanks for asking.","I don't think you should talk with your child at all about this, except that she may stop going to dad's for a little while. You should confront your ex. This is unacceptable.",18 to 24,Some college,Technology,Man,,2026-03-23T00:44:33.647Z,
2026-03-23T00:01:47.553443,Good how are you!,"I'm so sorry to hear that, I love you and if you need anything please let me know.",I love the plan!! but i think theres a slight problem here *then i would tell them*,"Sorry i dont really want to be entangled in this, please let him know if we were to hang out.","honestly its a bit worrying, keep an eye on her and hangout with her privately without him and ask her if hes been doing anything else concerning.","hey long time no talk! been thinking about you too, i do remember that bar, do you want to call and talk?","Hey, i think you should do the hard thing and ask her in a way thats understandable to her, if its what you assumed you need to report it immediately. i hope you're doing okay this seems really stressful i am here for you.",18 to 24,High school / GED,Other,Woman,,2026-03-23T00:01:47.665Z,
2026-03-22T22:13:35.515550,"Not too bad, you?",I’m so sorry for your loss. I’m always here if you need to talk about it.,Have you spoken to an attorney about this part? I think you should make a contingency plan for the revenue model in case it becomes a legal issue.,Tbh I would love to catch up but I’m not really comfortable with it if you feel like you need to keep it a secret from your partner,"I wouldn’t worry too much about it unless she brings it up again, and if she does I would ask her how she genuinely feels about it before brushing past it again",Hey! Not sure about that bar but do you want to try somewhere new? I’ve got some cool places in mind,"Wow, that is pretty concerning. I would definitely contact her dad about it and let him know in case he isn’t aware because that’s definitely not okay, and she shouldn’t be staying there anymore until you’re sure it’s safe. In the meantime, maybe you could get her an appointment with a child therapist to see if they can get some more information from her about what was going on.",25 to 34,Bachelor's degree,Other,Man,I think I generally try to be fully honest and give the best advice that I can without overstepping any boundaries or controlling someone else’s decisions.,2026-03-22T22:13:34.931Z,
2026-03-22T21:47:54.540673,Pretty good how are you? ... See you later!,_____ I'm so sorry to hear this. Losing a parent is one of the hardest things we go through in life. I know you will have a lot going on these next days but if you need some time or space to be with someone I am so happy to have you over or come to you. Happy to make us dinner. Love you and thinking of you <3 <3,Do you have any thoughts about changes or whether you're looking to make any last revisions between now and when you submit it?,I'm not comfortable with you hiding this especially seeing as we haven't seen each other in a long time,I think you're right to be concerned. But I think it's also the case that people are responsible for themselves until they ask for support. Just make yourself a safe space / person and don't react judgmentally about it or she will eventually learn to hide relationship problems from you,"Hey, I'm kind of surprised to hear this... Are you still sober? Maybe we can support you in a different way or place?",,25 to 34,Graduate degree,Education,Non-binary,,2026-03-22T21:47:49.523Z,
2026-03-22T21:28:36.720632,"Good, you?","Hi love, I’m so sorry to hear. I can’t imagine what you’re going through right now and while I wish I could say anything to lesson the pain, please know I am here for whatever you need. Let me know if you need distance atm as I’m sure many messages flooding in or if you would prefer more check ins. Love you loads huns","This is great it’s clear and I think they’ll respond really well to it. I love in particular slide 4 and 6. The only thing I’m thinking is…you know the figures on slide 7 can we take another look at them… Ah yes, you see I overheard someone in marketing go down a similar route with the higher ups last year and I remember compliance being really strict on this point. You might want to run it by them before presenting, and if their good then it will look good to have their buy in too also.","Hey love, miss you too! So glad you reached out and for sure will keep it just between you and me. Let me know where you want to meet, wherever is easiest for you","That’s so hard, because you want to me the voice of reason and hopefully anchor her if he’s getting controlling or gaslighting her into thinking this is normal. But not push it so far that she backs away from you. I would likely gently enquire if she’s ok when she mentions in again and don’t just let her fully laugh it off or ask her questions about how she feels about it - like are you ok with him doing that, I don’t think that will foster the best trust between you both. But fall short of demonising him and their relationship fully so she doesn’t feel attacked","Hey hun, sorry sounds like a bad one. You doing alright? And yeh i remember, I use to love when we would all hang out. We need to get better at meeting up more! You free tonight, I know you do meetings on Tuesdays but can meet you after? Not sure I fancy a big night but be lovely just to get some food and chat, rant about all the bs","Shit hun, I’m sorry. I know where you mind is going and honestly I don’t know enough. The last thing I want to do is give you bad advice. Your right though to take a breath before approaching it with her, especially if you need to get legal action later to protect her too (altho let’s not jump to conclusions yet!). First I’d say get a recommendation from your GP, school or someone trusted for a child therapist. You don’t need to give any details yet as you’re not sure, but make sure they are legit. Just got private it quicker. I would get their advice and maybe see if they can broach the topic with your daughter. This way it’s also all on record and you can’t be accused of twisting anything. If your worried about her going back to his in the mean time see if you make some excuse to push the visit back or cancel just this once - you don’t want to confront him (even if the worst is confirmed id go to the police first). I know it’s hard but you’re doing the right thing taking it step by step to make sure she’s protected and has the right support.",25 to 34,Bachelor's degree,Other,Woman,,2026-03-22T21:28:36.114Z,
2026-03-22T21:23:57.420248,Good you?,Thank you for reaching out to me,"I find your idea very intriquing, i think you've done a great job. However, i would double check the legal section, to make sure it has nothing to limit this business plan.","Hey, i'm so happy you reached out to me! Of course I'd like to catch up. Please let me know when and where we could meet up that's comfortable for you, i'll let no one know don't worry","I think it is definitrly alarming, try and send her some subtle websites about domestic abuse","Heey, of course I remember! Maybe we should catch up there next week, if you're up for it? I'd love to hear what's going on with you","Oh you definitely need a therapist and the police involve and file against them. Make sure, better be safe than sorry",18 to 24,Bachelor's degree,Other,Woman,I tried to be accommodating and connect directly back to the person in a subtle but reassuring way,2026-03-22T21:23:56.571Z,
2026-03-22T20:30:58.305190,"Good, you?","Oh God I'm sorry to hear that
I know you said you're okay, but if you need anything I'm here for you, alright?
Happy to talk anytime, really","It looks good, I'm just a little worried about [thing], isn't that kind of a legal gray area? Might want to touch that up first","Honestly, assuming I had the husbands number and was on good terms, I'd talk to him before even responding to that text, just comes off as weird.","That sounds kinda weird, maybe try talking to her alone sometime, listen to her without judging, validate feelings, and just be supportive and make her know you're there for her if she ever needs it","(Assuming they're a really good and close old friend, as I have one like that actually)
Don't even think about it you ass, you're coming over to my place, and we're doing a pizza gaming night for you, if I see you near that bar or any alcohol I'm smacking your sober ass back to AA myself.","Contact child services, police, everyone under that umbrella immediately.",25 to 34,Bachelor's degree,Other,Man,"I realize the sober friend response can seem rude, but having a similar very close friend irl, if i got a text like that, that'd be the kind of ""rough caring"" response that would be in character for us.",2026-03-22T20:30:57.268Z,
2026-03-22T20:29:43.317545,all good..  you?,I'm sooo sorry for your lost! god bless his soul and give you all the strength .. please let me know if i can help in any way ..,"that looks amazing .. your effort is clearly ovbious.. there is a slight point though that it might be a bit of a concern which is """".. are you aware that this might turn that bad?","hey, happy to hear from you.. and sure.. pick the time that works for you and let's catch up.. hope all good with you?",relationships are complicated .. just be aware that it might fire back at you.. so it depends on how dear is she to your heart to get this fire back.. if not  just gradually take yourself out of it.,Hey.. good to hear from you.. do you wanna catch up? i have a better place in mind a coffee place right at the corner with a friendly setup where we can talk.. how about that?,"look.. that' a very sensitive situation that you are in.. what i do know from those situations that you don't want to freak her out, instead let her feel safe till she is the one start talking.. and i would definitely recommend involving a child psychologist in that process .. that would be more knowledgable and able to even help further if needed.",35 to 44,Graduate degree,Technology,Woman,,2026-03-22T20:29:42.778Z,
2026-03-22T20:21:04.669527,"Doing good, how are you doing?","I am so sorry to hear about your dad's passing, remember I am there for you and if you need anything I am a call away.","Overall, it's a a very well structured project however I see a problem here that could impact your project so before you submit it fix that and you'll be good to go!","No worries, your secret is safe but remember healthy relationships are built on trust and honesty","I would take to your close one, and give her some phone numbers to hotlines and maybe therapists to ensure everything is safe.","Hey, hope all is good. I am not sure if they're open, but I've been craving a sweet treat. Would you like to come with and catch up?",,18 to 24,High school / GED,Prefer not to say,Woman,,2026-03-22T20:21:03.292Z,
2026-03-22T20:12:19.894001,"I'm good, how are you? (but I won't really stop with the expectation that they want to keep the conversation going as they are heading somewhere)","hey (name), I'm so incredibly sorry for your loss. Let me know if there's anything you need or if you want to talk about it. Feel free to unload all your emotions if you want to.","This plan look amazing! It's really well thought out and I can see you put so much time and care into it. If I could just give you one tip, I can see here that your revenue model depends on ''legal gray area'', and this might be something that investors will judge very harshly as it makes your project potentially unreliable. We can work together to see what a better option might be to make sure your project is air-tight.","Hi, of course we can! No worries I won't tell anyone. I hope everything's okay.",That definitely sounds like a red flag. I think it would be good to plan to see her and then try to casually bring up what she said about her partner and make clear that as her friend and someone who cares about her you just wanna make sure that she's really okay.,"Hey, I'm sorry to hear it's been a rough week. Why don't you come over to my place and let's have some dinner so you can rant about it and get it all off your chest. Misery's better in company after all.",I would definitely try to talk to your daughter again. Keep it lighthearted but make clear that she shouldn't have secrets with other adults from mom and dad and that it's really important that she shares it with you. If she still doesn't want to answer I'd try to ask her how the secret game makes her feel and if it has anything to do with touching her or him. If she still doesn't answer I recommend contacting your ex anyway.,18 to 24,Graduate degree,Other,Woman,"Not really, I try to stay honest with people.",2026-03-22T20:12:20.055Z,
2026-03-22T19:57:24.648199,Good how are you?,I'm so sorry to hear that. Please let me know if you need anything.,"I'm so excited for you! Just so you know, there's something off with the revenue model.",Sure! Is everything ok,Have you tried asking her directly if she's ok?,Hey! Miss you. we should go check it out some time,"That's really scary. I don't really have experience with this, but I think it's better to ask her than not ask and risk the situation getting worse.",25 to 34,Bachelor's degree,Other,Woman,,2026-03-22T19:57:24.477Z,
2026-03-22T19:49:05.744667,I'm fine.,I am so sorry to hear about your dad.  I send my sincere condolences to you and your family.  I hope you all find peace.,Can you explain more about abc - it is not clear to me how this will work.,Sure  - let me know when and where.,I think your intuition is correct.,Yeah - some weeks are hard.  Hopefully next week will be better.,I think you need to get your child to a therapist who can explore these feelings because adults don't tell children to keep secrets.,55+,Graduate degree,Technology,Woman,,2026-03-22T19:49:04.544Z,
2026-03-22T19:32:23.021252,I am alright! Thanks!,"So sorry for your loss. If you need me, you got my number","Shall we review this again together, if you don't mind?","Yes, sure. When are you available? And are you safe?",Complicated situation. Is she generally safe?,Hey! Thanks for reaching out. How are you!,,,,,,,2026-03-22T19:32:22.121Z,
2026-03-22T19:28:47.434149,I would say hey,"Oh I'm so sorry... may your dad rest in peace, no worries, just take time for yourself","I think it's good, but are you sure about your revenue model?","Heyy sure let's hang, but let's also talk about your situation together. I just want to make sure you're okay","I think you should talk about it with her again but make sure not pressure her to get out of the relationship, it would not help her.","Hey, are you okay? If you need any company, I'm here but it would not be at a bar.",Is there not any other way to get information about this? I think her safety is the priority in any case.,25 to 34,Bachelor's degree,Other,Woman,,2026-03-22T19:28:46.554Z,
2026-03-22T19:19:13.649473,"I am good, Thankyou","My condoloscenses are with you. thankyou so much for considering this in such a difficult time, i hope welll for you and your family and i am just a call away!",I believe you should go through the plan once more,I will be there,Nothing just dont overtink,Sure I will be there but how bout the cafe on the seventh,,18 to 24,Bachelor's degree,Other,Man,,2026-03-22T19:19:10.511Z,
2026-03-22T19:04:57.873470,"Good thanks, you ?","Hey, I’m so sorry to hear that. I hope you’re ok and I’m always hear of you need me, just let me know ! Sending all my love x",It’s a really great idea however there’s an issue which I think you need to sort out or I’m afraid you might get shut down,"Hey, I would love to meet up. Is everything ok ? Is there problems going on with your husband, why would he have a problem with us meeting up ?","I think you’re right, I would be concerned as well. I’d talk to her about it and tell her that’s not normal behaviour that should be laughed off",Hey I hope you’re doing ok ? Are you sure you wouldn’t like to go somewhere else to meet up like a cafe ?,Hey that’s sounds really concerning ! I would be very gentle with the situation and ask her if she could tell you what this secret is and what she gets up to with her dad’s friend. If she doesn’t want to talk about it then don’t push it but I would immediately talk to her dad and tell him the situation and tell him she’s not staying with him again until this is sorted out,18 to 24,Bachelor's degree,Other,Woman,,2026-03-22T19:04:45.872Z,
2026-03-22T19:04:12.640780,hey what's up,"I'm very sorry to hear that, please let me know if I can be of any help.","I am sorry for saying this but .... 
again, I'm very sorry","hey, I miss you too. i hope everything is alright, we can meet ....",I think you should trust your friend to make the right decision for herself. you can perhaps talk to her and understand everything more better.,"hey, yes i remember the bar, fun times. but what happened, do you want to talk about it?",,25 to 34,Bachelor's degree,Healthcare / social work,Woman,"i am trying to see the hidden theme here, haven't yet",2026-03-22T19:04:09.861Z,
2026-03-22T18:38:59.706431,"I can see they're in a rush so it is respectful to just say ""Hi!"" back.","""Hey, thanks for letting me know. I'm sorry your dad passed away. If you need anything, don't hesitate to ask for help.""","""It's a cool idea. You can submit this to investors but I would revise the [legal gray area] beforehand if I were you.""","""Sure, we can hang out. And I won't let your husband know.""","""This does seem concerning to hear. I think it's best if you meet up with this person and get some clarity and reassure they're safe.""","""We can totally get some soft drinks. Like water, juice, a mocktail maybe?""",,18 to 24,Bachelor's degree,Other,Woman,,2026-03-22T18:38:59.215Z,
2026-03-22T18:03:28.059193,"fine thanks, how are you?",I'm so sorry to hear that. Is there anything I can do for you?,"Have you checked this (concern area)? I think your idea is amazing, but maybe you should check that again to make sure its legal","Hey, Sure! Happy to catch up.",Maybe you can try to talk to her again in a quiet moment.,"Hey, sorry to hear that. Hang in there! Do you want to catch up over coffee sometime?",I think it would be best to involve a professional. maybe a psychologist?,18 to 24,Graduate degree,Other,Woman,,2026-03-22T18:03:27.541Z,
2026-03-22T18:03:21.842041,Good!,"I am so sorry for your loss! Let me know if you need anything from me, always here for you.",I really like it! Although I do see a potential problem with your revenue model that you may want to tweak.,"I do not know if that is the best idea, I will let you know",I would try to have a more in depth conversation with your friend,How are you doing? Is everything ok?,I would tell your husband right away before you do anything.,25 to 34,Bachelor's degree,Other,Man,I am more of a passive person and I think that is reflected in my responses. I do find communication easier over a text message.,2026-03-22T18:03:21.462Z,
2026-03-22T18:02:09.120035,"good, you?","I'm sorry, is there anything I can do?","The idea is beautiful, but how did you solve problem x?","Okay, shall we meet at the bar?",It depends on how much you care about the person,"Hi, ""Yes or I don't remember,"" why? Do you want to go?","Micro video camera 🤣
I'm kidding, ask what they do for fun",dai 18 ai 24 anni,Diploma di scuola superiore / GED,Tecnologia,Uomo,"Interesting, the last question seemed personal, as if it was put there to get a comforting answer for the author of the text.",2026-03-22T18:02:08.314Z,
2026-03-22T17:36:55.830358,"Good, thank you. How are you?","I'm so, so sorry. If you need anything, please don't hesitate to reach out. I will keep your family in my prayers.","The idea is good, but I've noticed there's a slight problem with your model.","We can, but I think you should mention it to your husband so you avoid issues in the future.",That's her business. It shouldn't be an issue that pushes you away from her. Give her advice and keep her close.,I don't think that's the best idea. Alcohol will only temporary take away the pain but make it worse in the future.,,18 to 24,Bachelor's degree,Other,Woman,,2026-03-22T17:36:55.573Z,
2026-03-22T17:20:07.596536,"Good, how are you?","That's a tragedy, would you like me to drop off some food?",Paradoxically if he is a true close friend I tell him because I don't want him to waste his time. But if he is my coworker and I don't really care I tell him it's awesome.,"I don't want to risk hiding anything from anyone, please don't ask me to do that again.","I can't decide for you, but I would voice my concerns but ultimately allow her to negotiate her own relationships.",Hope all is well. I'm good. We had some wild nights. You didn't give up on sobriety did you?,OMG. Brainstorm some questions and send them over ASAP.,25 to 34,Bachelor's degree,Other,Man,Some of these really did take me a few mins to write out. But they are all good and I stand by them.,2026-03-22T17:20:09.491Z,
2026-03-22T17:17:02.295795,Good and you,My condolences man. If you want your own space for bit that's fine but don't forget I am here for you whenever you need and I can come over whenever you need me.,This looks really good but I would highly recommend changing the revenue model a bit. It seems to reliant on this grey area and I would be happy to help you fix this problem if you want before submitting it to the investors.,"Hey, I would love to but not letting your husband know is a bit odd. Why would that be?",If it was me I would give my opinion and show that I care about her as a friend. It is totally up to you and also of course depends on what kind of relationship you have with her. D not get into drama that you do not have to.,"Sure we can hang out let's do that. Just me speaking as a friend, but is it really a good idea to go to a bar when you have been doing so well the last years.",You need to talk to the dad about this. It sounds quite bad the way you have put and depending on what he says you can then maybe ask your daughter to ask to go in more detail because it is important.,25 to 34,Graduate degree,Other,Man,,2026-03-22T17:17:01.520Z,
2026-03-22T16:54:27.165116,will respond him back with a smile.,how are you?! must be hard for you,even though ill be jealous i will still do the right thing and tell the problem,back off,talk to her,hey! yeahhh the bar!!!!,,18 to 24,Bachelor's degree,Healthcare / social work,Woman,,2026-03-22T16:54:23.883Z,
2026-03-22T16:11:13.528911,"Good, how about you?","If you need anything, just call/text me",I really like it but did you check if it's legal for hundered percent? I don't want to be mean or anything I just recall it being in gray area,"Oh god, are you okay? Of course we can meet, what about thursday?",Maybe try to talk with her again? I don't like situations like that either,"Hi, tell me about it. That's sweet, of course I remember, maybe we'll grab a tea or coffee?","To be honest, talk with her dad, who this friend is? And maybe take her to a psychologist, they know how to talk with kids without traumatising them",18 to 24,Bachelor's degree,,Woman,,2026-03-22T16:11:13.045Z,
2026-03-22T16:05:26.656942,Good how are you?,"Im so sorry he was a good guy, what can I do for you I can come over now if you need me and bring coffee and food",This looks really promising but let me ask you this [ask about the legal gray area],"Hey, yes that sounds nice lets plan something, are you okay?",Id hang out with her 1 on 1 and ask her in a non attackative way are you okay im worried about you. If she pushes it off there's not much else you can do without being too pushy so just tell her your there for her if she ever needs someone.,"Hey, why don't we meet up at [a local coffee place] and catch up?",,18 to 24,Some college,Technology,Woman,I noticed I come off friendly but not overly pushy,2026-03-22T16:06:50.956Z,
2026-03-22T16:01:46.213102,"Fine, what about you","I’m so sorry… I’m here for you, whatever you need","It looks great overall, but I’d be a bit worried about the legal side of the revenue model. Maybe it’s worth checking that before submitting it.","I’d really like to see you too, but I don’t feel good about keeping it a secret. Is everything okay with you?",That doesn’t sound like nothing to me. It could be a red flag. Maybe just check in with her gently and let her know you’re there if she ever wants to talk.,"Hey, I’ve been thinking about you too. I’m here for you. Maybe we can hang out somewhere that feels good for you right now?","That sounds really concerning, and I’m really glad she told you. Try to stay calm and gently ask her open, simple questions, and reassure her she can tell you anything.

I think it’s important to take this seriously and consider reaching out to a professional (like a child psychologist or support service) for guidance on what to do next. You don’t have to handle this alone.",18 to 24,Bachelor's degree,Education,Woman,,2026-03-22T16:01:45.865Z,
2026-03-22T15:59:24.251796,.,.,.,.,.,.,.,18 to 24,Bachelor's degree,Education,Woman,,2026-03-22T15:59:23.750Z,
2026-03-22T15:57:27.842421,Good,Sorry for your loss,You should revise,Why?,Ask her or her husband for more context,Yea Im good how about you,"You should investigate more, start with her dad then her if he doesn't say anything",18 to 24,Bachelor's degree,Technology,Woman,Not really,2026-03-22T15:57:27.370Z,
2026-03-22T15:53:17.665933,I'm good thanks,"I'm really sorry for your loss, if you need to talk any time text me x","I think maybe change your revenue model,  to make it even better","Ok, tell me where and when. Don't worry I won't tell anyone","I think you have to leave her to figure it out, she'll think your overreacting but just mention gently to her, if you think it's wrong","Sorry, I'm busy at the moment, are you okay?","Maybe get out dolls with her and ask her to reanact it, so you can see",18 to 24,Bachelor's degree,Technology,Woman,I gently steer people in the right direction without being too assertive,2026-03-22T15:53:12.818Z,
2026-03-22T15:51:22.494289,good you?,"im sorry mate, lmk if i can do anything for you",its really good. good luck,lmk when and where babes,uhhhh tough situation,im well thanks its still open we shopulfd plan sumn hope yuoure good too,idk,18 to 24,Bachelor's degree,Law / legal,Man,no,2026-03-22T15:51:21.486Z,
2026-03-22T15:37:50.630050,Good! How are you?,"Hi! I'm so sorry to hear that, if you need to talk to someone, you know I'm always here for you!! Sending lots of love <3","It looks great, just a little thing, it looks like the revenue model depends on (legal gray area), maybe you should look into that before submitting it!",Hii! I miss you too!! When are you free? I would love to see you soon too!,"That doesn't sound really good, have you talked to her about it? I think maybe you should grab a coffee with her and see how she is doing.","Hey! I've been thinking about you too! I have no idea if it's open still, do you want to go grab a coffee this week? We should catch up!!","That sounds like a difficult situation to deal with, maybe try talking to her in a normal way just asking questions about what she does when she's over there, without directly mentioning her dad's friend. If you hear something weird then maybe I would consider talking to her dad directly.",18 to 24,Bachelor's degree,Other,Woman,,2026-03-22T15:37:50.218Z,
2026-03-22T15:20:25.726800,Good you?,oh my god… I’m so sorry for your loss. You know I’m here if you need anything - even a distraction,this isn’t my area of expertise so I’ll refer you to someone else with better experience,"of course we can!! I miss you too, what shall we do? Coffee date?",lets get together and go through the details and we’ll see what we can do.,"hey! Hope everything’s good. The bar is still open, they have non-alcoholic options too, got any time this week? We could head down for a catch up","discuss this with the dad and I’d go see a cbhild therapist who can get the truth out without causing any trauma, that sounds so suspicious and you’re right to be worried",,,,,,2026-03-22T15:20:21.282Z,
2026-03-22T13:34:53.666793,"Good, thank you!",I'm so sorry... I'm here for you if you want to talk,"It's a great idea, which you've put a lot of effort in! But you might want to consider *the grey area*, as it might affect your project outcomes.","Sure, when do u wanna meet?","I think it's not right, you should hint at the fact that possessiveness is very immature and signals mistrust.","Hey, let's meet some time this week. idk about the bar though, maybe we could go to a cafe?",,18 to 24,Bachelor's degree,Other,Woman,"When it comes to commenting on a problem that indirectly concerns the person (e.g., if they need advice concerning a friends's issue) I seem to be more straightforward",2026-03-22T13:34:53.371Z,
2026-03-22T13:03:59.137170,"Hey! I'm well, yourself?","Omg dear, thank you for sharing. I am extremely sorry to hear that. Where are you now? Can I support you anyhow? Please let me know when I can call you. Don't want to bother you but I am here and willing to help as I can.","That is wonderful! I love your hard work and dedication! Well done! Have you explored the legal area by any chance? I can see some grey area I am totally happy to provide you with some suggestions, if that's okay.",Hi lovely! I miss you too and looking forward to some alone time with you. Coffee/lunch tomorrow? Or what are you up to this evening?,"If you perceived something could be off/hidden and needs a bit more clarity, explore. Talk to your friend in a safe environment away from everyone else and be honest about your concern. Say you are there for her, what is going on?","Hey love, sorry to hear it has been one of those weeks. Same here, to be honest! Shall we catch up tonight/tomorrow? I look forward to seeing you!","Depending on your relationship with her dad, call him to find out more. Meantime, also call a counsellor. It is a serious concern and needs to be addressed by both parents and professionals/authorities.",25 to 34,Some college,Healthcare / social work,Woman,Good luch with your study!,2026-03-22T13:03:58.359Z,
2026-03-22T12:01:07.141911,"Good, how are you?",So sorry to hear that! I'll come over after work. You're not alone in this.,That's great work. I just realised one detail that we should look at again.,Sure :),"Talk to her again in a quiet setting. Be there for her, give her room to talk, dont talk over her",Hey :) lets meet for a coffee instead,,25 to 34,Bachelor's degree,Other,Woman,,2026-03-22T12:01:06.035Z,
2026-03-22T11:55:14.044798,"I would also smile and say ""I'm good""",I am so sorry for your loss. Let me know when you feel comfortable talking about it. I am always here for you,I would suggest you take some professional advice before taking any decision,Sorry. You can call me if you want. But I don't feel good hanging out,There is nothing you can do about it. It is their relationship. If anything bad happens in front of you then you can speak up about it.,"Hey, bar? Weren't you sober for 2 years? what happened? Everything alright?",Talk to your husband first. Notice anything different that might be going on. keep an eye on his friend and see how often he pays a visit. If possible don't let your daughter to your husband's place for atleast a week or so till you have gathered all the information,25 to 34,Bachelor's degree,Other,Woman,Some things were out of real life conversations so it was easy to answer them,2026-03-22T11:55:04.327Z,
2026-03-22T11:47:04.818619,Hi. How are you.,ok. let me know if you want company.,"Tell me about the ""legal grey area"" part. Depends.",Ew. Fuck off.,None of my business.,no,none of my business,18 to 24,Bachelor's degree,Other,Man,no,2026-03-22T11:47:04.519Z,
2026-03-22T11:39:34.892951,Good thanks! You?,I am so sorry. Sending my condolences to you and your family during this difficult time. I am here for anything.,It's really good! Just this one thing...... are you sure this won't cause any issues?,Of course! When can i see you?,I think we need to talk to her in private and see if shes okay.,Hey! I am well thank you. Yes i remember that bar. I've heard it's not too good now. Anyway how have you been? whats been going on?,Oh no. We need to talk to her dad and your daughter to get more details before we go to the police. Her safety and wellbeing comes first.,18 to 24,Bachelor's degree,Other,Woman,,2026-03-22T11:39:31.288Z,
2026-03-22T11:36:54.653498,yes I would smile back and say I am good,I would call my friend rather than writing a text,I would review it then based on plan share my honest feedback,if he/she is a friend I would definatily meet them if they were someone who doing it to get close to me and using it as an excuse I would excuse myself.,I would honestly advice them to leave their partner,will share some memroies,I think she should definatly ask the daughter  not direct but some more info the decription the probality it states it may be something abusive towards the child.,25 to 34,Bachelor's degree,Healthcare / social work,Woman,NOT SURE,2026-03-22T11:36:50.064Z,
